Marca temporal,GRADO,ACIERTOS,NOTA,VALORA_MEDIA,VALORA1,VALORA2,VALORA3,DEMO,P1,R_P1,P2,R_P2,P3,R_P3,P4,R_P4,P5,APRENDIZAJE1,APRENDIZAJE2
11/8/2022 11:49:27,BIO,3,7.50,8.00,5,4,3,GafasVR,C,Acierto,A,Acierto,D,Acierto,D,Fallo,"El comando traceroute sirve para identificar el camino que sigue un datagrama desde la máquina desde la que se envía hasta la máquina destino a la que se quiere llegar. Nos muestra paso a paso por qué máquinas pasa empleando un valor de TTL que va aumentando. Esto nos sirve para identificar rutas y hacernos un esquema de cómo viaja la información, pudiendo saber así si las rutas que configuremos están bien planteadas y funcionan como queremos.","Me ha ayudado ver paso a paso el proceso y poder pinchar en las cabeceras anteriores para poder asegurarme de que he entendido de donde viene y hacia donde viaja la información. El que sea interactivo es útil para poder pinchar en cada momento en cualquier cabecera. Además vemos por el cable de qué interfaz sale, por qué hubs, routers pasa, etc. 
Esto ayuda a centrarse en lo que está pasando en cada momento.",
11/8/2022 11:49:37,BIO,0,0.00,9.33,5,4,5,GafasVR,B,Fallo,B,Fallo,C,Fallo,D,Fallo,"El comando ""traceroute"" nos sirve para saber el camino que recorre la información cuando la enviamos desde una máquina a otra y nos muestra información correspondiente a esos ""saltos"", mostrando las direcciones IP de aquellas máquinas por las que ha pasado la información. Además, para cada ""salto"" este envía un mensaje con TTL creciente, empezando por 1, siguiendo por 2, 3... con la finalidad de que las máquinas por las que pase la información le devuelvan un mensaje de TTL excedido y así almacene, en la tabla que se muestra a posteriori, la dirección IP de dicha máquina. Después, mandaría un mensaje con TTL = n +1 para llegar a la siguiente máquina. En caso de que haya manera de llegar a la máquina peor esta no tenga la posibilidad de mandar un mensaje de TTL excedido de vuelta, en la tabla aparecería un * y se volvería a enviar un mensaje con TTL = n+1.",Con la explicación de las clases anteriores y los ejercicios de la práctica 3 realmente ya me fue suficiente para entenderlo pero aún así este tipo de actividades se agradecen.,
11/8/2022 11:49:43,BIO,1,2.50,4.00,1,1,4,Animacion3D,C,Acierto,B,Fallo,B,Fallo,D,Fallo,"para saber que recorrida hace el paquete para llegar a su destino.
Aporta la info sobre la ruta que sigue","a menudo no funciona la tecla para parar la animación.
Sería útil poder volver atrás en la animación para volver a ver lo que acabe de pasar",
11/8/2022 11:50:11,BIO,2,5.00,8.00,4,4,4,Animacion3D,B,Fallo,A,Acierto,B,Fallo,C,Acierto,"El comando  traceroute sirve para ver cuantos routers (saltos, encaminadores) se usan para llegar al destino. También informa si hay camino de vuelta desde cada uno de los routers. Indirectamente nos aporta una información de distancia.","Sí me han sido útiles, aunque yo también veo muy claras las diapositivas. Cierto es que al ser imágenes dinámicas y cómo se van ""desempaquetando"" las cabeceras de cada protocolo, me queda mucho más claro.",
11/8/2022 11:50:30,BIO,1,2.50,6.67,3,3,4,Diapositivas,A,Fallo,B,Fallo,D,Acierto,D,Fallo,Sirve para darnos información sobre los saltos que dan nuestras solicitudes IP ,,"Si, porque vería mas gráficamente como se producen las rutas y cuando se eliminan los mensajes. Creo que te hace recordarlo y entenderlo mejor."
11/8/2022 11:51:02,BIO,2,5.00,7.33,3,4,4,Diapositivas,A,Fallo,A,Acierto,D,Acierto,D,Fallo,"Traceroute es un comando muy útil para pode conocer la ruta o encaminamieno que va  a seguir un datagrama. A diferencia del comando ping que sólo nos informa de si hay ruta con una máquina (ruta de ida) y si esa máquina es capaz de respondernos (ruta de vuelta), traceroute nos va dando información de cada uno de los nodos intermedios del encaminamiento. Además, nos permite saber a nivel de qué encaminador puede producirse el error (donde no exite una ruta de vuelta para el ICMP hacia la maquina emisora. Nos va dano información de las partes de la tabla de encaminamiento de cada nodo, ya que puede encaminar por una de sus interfaces, u otra, dependiendo de la tabla. El mensaje traceroute sigue una ruta que puede ser y sueke pasar que es diferente a la de el encaminamiento hacia la máquina destinataria o hacia la emisora.",,"Desde luego, ver el comando traceroute y cualquier comando es más útil aprenderlo de manera visual. Es simplemente por que queda mucho más claro, ya que de manera técnica van surgiendo muchas pequeñas dudas que son cruciales y a veces, la solucion es uy sencilla u obvia pero hasta que no te la dicen no se te ocurre (verlo en pantalla sería útil por eso). Además es una manera diferente de aprender y se suele quedar en la memoria por ser un recuerdo asociado a algo más entretenido que sólo estudiarlo. Sin embargo, creo que de manera técnica también tengo los conocimientos claros y con práctica puedo entenderlo a la perfección."
11/8/2022 11:53:30,BIO,3,7.50,8.00,5,3,4,Diapositivas,A,Fallo,A,Acierto,D,Acierto,C,Acierto,"Si no aparecen asteriscos, traceroute nos sirve para conocer por que dispositivos intermedios pasaría un mensaje enviado desde la máquina que ejecuta el traceroute a la máquina con IP que indiquemos",,"Creo que habría respondido más o menos a las preguntas porque me quedo claro con la explicación de clase y las diapositivas. Aun así yo creo que ver la animación (3D o en el navegador) puede ayudar a entenderlo mejor, ya que permite ver de manera gráfica lo que ocurre de forma menos confusa (se ven los efectos de las tablas de encaminamiento, los routers, las cabeceras.. de manera más evidente)"
11/7/2022 14:37:06,ROB,0,0.00,8.00,5,4,3,Diapositivas,D,Fallo,B,Fallo,A,Fallo,D,Fallo,"Sirve para obtener una aproximación de la ruta que siguen los paquetes desde una máquina origen a una destino, utilizando el campo TTL de forma creciente hasta alcanzar dicha ruta",,"Opino que me resulta más fácil ver mis apuntes con mis propias palabras y a mi propio ritmo, pero en realidad me da igual una cosa u otra "
11/7/2022 14:38:20,ROB,0,0.00,8.00,4,4,4,Diapositivas,B,Fallo,B,Fallo,B,Fallo,D,Fallo,El traceroute resulta realmente útil si quieres saber si para llegar a una cierta máquina hay camino de ida y de vuelta. Además este comando te dice por cuales y cuantos routers han pasado los paquetes enviados.,,"Si hubiera visto la animación seguramente hubiera podido apreciar sutilezas que con las diapositivas no se pueden apreciar al 100%, por tanto seguramente hubiera podido responder las preguntas de mejor manera si hubiera visto la animación"
11/7/2022 14:39:44,ROB,1,2.50,8.00,4,4,4,GafasVR,B,Fallo,B,Fallo,D,Acierto,D,Fallo,Sirve para conocer la ruta que usara un pc para enviar datagramas a otro pc,"Solo un poco , ya que el tracerute es ver el camino que toman los datagramas, y al contrario que en la anterior, no hay que prestar atención a varios niveles de mensajes para comprenderlo.",
11/7/2022 14:39:47,ROB,0,0.00,6.00,3,2,4,GafasVR,D,Fallo,C,Fallo,C,Fallo,D,Fallo,"Este comando nos muestra por pantalla la ruta que se sigue con la configuración que hayamos creado en ese momento hasta llegar a un objetivo, desde el ordenador en el que lo ejecutamos. Si no es posible llegar, da un error.",Me ha ayudado ya que he podido ver el proceso completo y también he podido sumergirme en eĺ.,
11/7/2022 14:40:39,ROB,0,0.00,6.00,3,3,3,GafasVR,D,Fallo,B,Fallo,A,Fallo,D,Fallo,"Traces puede servir para comprobar que ruta siguen los paquetes cuando se envian de una máquina a otra, dando información de por que routers pasan estos paquetes.","Creo que ver la animación ayuda a comprender como son procesados los paquetes por cada uno de los routers por los que pasan, viendo de forma más clara que protocolos se leen y envian y con que información.",
11/7/2022 14:41:04,ROB,0,0.00,4.00,2,2,2,Animacion3D,B,Fallo,B,Fallo,C,Fallo,B,Fallo,"Sirve para saber la ruta hasta una dirección IP. Te puede indicar que no tienes una ruta para acceder a dicha ruta o te indica el camino que ha seguido. Cuando aparecen * es que pasa por varios routers. 

La información que proporciona sirve para conocer el camino que sigue un paquete enviado a cierta dirección. Podemos saber si se puede perder por el camino o si la ruta no es la que teníamos pensada.","Sí, seguramente me ayude más para hacer las prácticas.",
11/7/2022 14:41:15,ROB,3,7.50,9.33,5,5,4,Diapositivas,C,Acierto,A,Acierto,D,Acierto,D,Fallo,"Traceroute indica si existe una ruta para el destino, si existe una ruta de vuelta para el mensaje (si en algun ruter no, se ponen *). Tambien indica por cuantos y que routers pasa aunque solo nombra por que direccion regresa la informacion ",,Creo que no hubiese variado mucho con este comando
11/7/2022 14:41:39,ROB,1,2.50,6.00,3,3,3,Animacion3D,C,Acierto,B,Fallo,C,Fallo,D,Fallo,Traceroute sirve para mostrar la ruta que a tomado un paquete para conseguir llegar a su destino. Al utilizarla veremos una tabla donde pondrá las direcciones ip por loas que ha pasado el paquete para llegar al destino.,,"La ultima vez, utilicé las gafas y conseguí prestar más atención. Teniendo la animacion en el ordenador me desconcentré un poco, ya que al poder ver a todos mis compañeros haciendo lo mismo era muy facil despistarse."
11/7/2022 14:41:43,ROB,0,0.00,5.33,3,3,2,Diapositivas,D,Fallo,B,Fallo,C,Fallo,D,Fallo,Traceroute muestra la ruta seguida por los datargramas para llegar a su destino,,"Dado que las diapositivas las hemos visto todos, pero no todos hemos usado las gafas, si pienso que cualquier tipo de informacion adicional o otro punto de vista habría ayudado a aclarar las ideas"
11/7/2022 14:42:28,ROB,0,0.00,8.00,4,4,4,Animacion3D,B,Fallo,B,Fallo,A,Fallo,D,Fallo,"Traceroute sirve para conseguir información de la ruta que seguiría un paquete IP, identificando los routers por los que pasaría según su tabla de encaminamiento. Pudiendo saber si hay ruta posible de ida y de vuelta, si no hay una de las dos o ninguna, en caso de que no terminara, y porque routers estaría compuesta la ruta de ida.",,la diferencia con la utilización de las gafas es quiza el ambiente inmersivo que te anima a investigar e interactuar con el medio prestando mas atención a la información proporcionada 
11/7/2022 14:42:51,ROB,0,0.00,6.67,4,3,3,Diapositivas,B,Fallo,B,Fallo,B,Fallo,D,Fallo,La utilidad del comando traceroute es aproximar una ruta entre dos direcciones y por dónde debe pasar los paquetes para que llegue a su destino. La información que nos paorta son las direcciones IP por las que han pasado los paquetes ICMP a la vuelta desde los diferentes routers por los que pasa. ,,"Si, porque a la hora de ver las rutas de los mensajes de eror ICMP hubiese entendido mejor las rutas."
11/7/2022 14:43:09,ROB,4,10.00,10.00,5,5,5,Animacion3D,C,Acierto,A,Acierto,D,Acierto,C,Acierto,"Traceroute te da información precisa de la ruta desde la máquina que se ejecuta hasta la máquina destino, y aporta información sesgada de las rutas de vuelta de las máquinas intermedias hasta la máquina origen. En el caso de que la ruta no exista, traceroute te da algo de información acerca de dónde puede estar perdiéndose la información.","No, la explicación en clase ha sido suficiente. Además, en las diapositivas de clase se resaltan aspectos relevantes de los mensajes, como el TTL, o el puerto destino, que afectan al comportamiento de traceroute que en la animación aparecen, pero se pueden pasar por alto. En la animación, aunque se resalta que las máquinas consultan sus tablas de encaminamiento, no se ve cual de las entradas de la tabla se consulta en cada caso, mientras que en las diapositivas sí que se puede ver claramente.",
11/7/2022 14:44:03,ROB,1,2.50,2.00,1,1,1,Animacion3D,B,Fallo,B,Fallo,D,Acierto,B,Fallo,"Sirve para encontrar la route que siguen los paquetes, y utilizando deduccion, comprobar si la direccon es válida y sacar información sobre la ruta de vuelta.","La animacion pierde sentido si no es con las gafas, es más incomoda que unas diapositivas",
11/7/2022 14:44:32,ROB,0,0.00,8.00,4,3,5,GafasVR,B,Fallo,B,Fallo,C,Fallo,D,Fallo,"traceroute sirve para saber la ruta de una máquina a otra mediante las direcciones IPs de las máquinas intermedias, también es útil para saber si hay algún bucle o simplemente no hay ruta entre las dos máquinas a conectar. Esto lo podemos saber porque salen varios asteriscos(*) por fila.
","Creo que la animación ayuda a entender mucho mejor el orden en el que se envían los datagramas, así como ser conscientes de todo lo que sucede cuando llega un datagrama a un router que no es la máquina destino y a la máquina destino.",
11/7/2022 14:44:49,ROB,0,0.00,6.00,3,4,2,Animacion3D,D,Fallo,D,Fallo,B,Fallo,D,Fallo,El comando traceroute se utiliza para saber la ruta por la que se envían los paquetes dependiendo de su destino,"Sí, la animación 3D hace que el aprendizaje sea más fluido.",
11/7/2022 14:45:00,ROB,0,0.00,10.00,5,5,5,Animacion3D,B,Fallo,B,Fallo,A,Fallo,D,Fallo,Traceroute sirve para llevar un seguimiento de los routers por los que pasa la trama y poder comprobar si la dirección de destino es accesible mediante la red a la que está conectada esa máquina que emite la trama.,En esta práctica considero que no hay tanta diferencia  entre ver las diapositivas y la animación.,
11/7/2022 14:45:16,ROB,1,2.50,6.00,3,3,3,GafasVR,A,Fallo,A,Acierto,C,Fallo,D,Fallo,Tracceroute sirve para conocer cuales son los routers intermedios por los que pasn los datagramas. Concretamente te dicen cual es la ip de el router que manda el error de ttl 0 de vuelta a el pc que ejecuto el trace route.,"Si, ya que todo es mas visual ",
11/7/2022 14:45:38,ROB,2,5.00,8.00,5,4,3,Animacion3D,C,Acierto,A,Acierto,A,Fallo,D,Fallo,Para poder identificar los routers por los que van a pasar los paquetes que se envien de una máquina a otra.,"La verdad es que no lo creo. Me parece que si hubiera visto las diapositivas habría obtenido los mismos resultados. Falta una función para poder echar la animación para alante y para atrás, tener que empezarla de 0 cuando te pierdes algo resulta incómodo. También cuando llega a las partes en las que se muestra la pantalla del ordenador, los datos se salen del campo visual, en mi opinión, se hace demasiado grande.",
11/7/2022 14:45:56,ROB,4,10.00,8.67,5,4,4,Diapositivas,C,Acierto,A,Acierto,D,Acierto,C,Acierto,"Es útil cuando hay un problema de comunicación con otra máquina (no llegan o se reciben los mensajes, pasa demasiado tiempo, etc...), para detectar en que punto está el fallo.",,"Yo creo que algo me habría ayudado, no mucho, sobre todo con el tema del procesado de los protocolos."
11/7/2022 14:46:01,ROB,0,0.00,7.33,4,4,3,Diapositivas,B,Fallo,B,Fallo,A,Fallo,D,Fallo,"Sirve para indicar si existe una ruta de ida y una ruta de vuelta de un paquete. Además, en el caso de la ruta de ida indica los routers por los que pasa y también da una idea de cómo es la ruta de vuelta por las direcciones ip que imprime.  ",,"Creo que para entender la cantidad de datagramas IP que pasan por cada maquina si, pero de todas formas con las diapositivas se entiende claramente el proceso. Ayudan las flechas y que se muestren las ip que se mandan en cada caso"
11/7/2022 14:46:42,ROB,2,5.00,10.00,5,5,5,Diapositivas,B,Fallo,A,Acierto,D,Acierto,D,Fallo,"El cometido principal es aproximar la ruta que toma un paquete desde el origen al destino. Sin embargo, se puede deducir más información relevante de la forma en la que concluye el comando y las IP's involucradas.

- Si el comando concluye, se garantiza que hay un camino de ida y un camino de vuelta. Además, se determina el camino de vuelta.
- Se puede determinar qué routers intermedios tienen camino de vuelta hacia la máquina origen, y se puede estimar una posible ruta de vuelta si se conoce la topología de la red.",,"Sí, porque habría visto con antes que hub1 distribuye los datagramas del traceroute también a r1 y esto provoca que se capture una trama más en pc2 antes de concluir el traceroute."
11/7/2022 14:47:11,ROB,3,7.50,6.67,4,3,3,Animacion3D,D,Fallo,A,Acierto,D,Acierto,C,Acierto,"Sirve para saber las rutas por las que los mensajes pueden pasar para llegar el destino seleccionado, además asi se otiene la informacion de la IP de los router y pc por los que se pasa.","Es más interactivo si , pero sin la explicacion previa no se sabria que observar y porque pasan los sucesos.",
11/7/2022 14:47:15,ROB,1,2.50,8.67,4,4,5,Animacion3D,B,Fallo,B,Fallo,D,Acierto,D,Fallo,"Traceroute nos indica que ruta sigue un paquete enviado a la dirección de destino indicada. Para ello, envía mensajes con TTL creciente, de tal forma que comienza con TTL = 1 y va aumentando hasta alcanzar el destino. Con cada uno de estos paquetes con TTL creciente, el traceroute crea una tabla con las direcciones de los puertos origen del mensaje de error que se genera al alcanzar el siguiente router (TTL insuficiente) o el destino (puerto inalcanzable). Como resultado el comando traceroute nos muestra una tabla con la ruta que sigue un paquete al enviarse al destino indicado.","Desde mi punto de vista en este caso no creo que influya ya que creo entenderlo bien igualmente. Sin embargo, considero que a otras personas les puede influir y ayudar el ver una animación en 3D.",
11/7/2022 14:47:30,ROB,1,2.50,6.67,4,3,3,GafasVR,B,Fallo,B,Fallo,C,Fallo,C,Acierto,"Traceroute es un comando para ver la ruta de routers que ha seguito el mensaje para llegar a su destino, te dice por cuantos routers ha pasado.",Es mas entretenido ver la animacion 3D y le pones mas atencion.,
11/7/2022 14:47:41,ROB,1,2.50,8.00,5,3,4,GafasVR,B,Fallo,B,Fallo,D,Acierto,D,Fallo,"Traceroute sirve para comprobar que existen rutas entre las máquinas, que no hay problemas para llegar a ellas y saber cuales son estas rutas.","Muchisimo, he entendido gracias a esto mejor el funcionamiento de traceroute",
11/7/2022 14:48:04,ROB,1,2.50,9.33,4,5,5,GafasVR,B,Fallo,A,Acierto,A,Fallo,D,Fallo,,"La utilidad de observar cada paquete y tabla de enrutamiento es muy comoda, pero no considero que sea una mejora respecto a las diapositivas
",
11/7/2022 14:48:06,ROB,2,5.00,6.67,4,3,3,Diapositivas,B,Fallo,A,Acierto,D,Acierto,D,Fallo,"traceroute sirve para poder saber principalmete si exixte ruta de ida y de vuelta desde una maquina a otra.Traceroute envia una serie de paquetes a los cuales les va incrementando el TTL para poder ir reciviendo un mensjee ICMP de Tipo y codigo 11 0 hasta que le llegue un mensaje con un ICMP de Tipo y codigo 3 3. Si al realizar traceroute nos dice que no exixte ruta, tenemos tres posibilidades, que no existe ruta de ida, que no existe ruta de vuelta o que no exixte niguna de las dos. Si al realizarnos si nos muestra una ruta la analizaremos y en ella nos mostrara el camino que realiza el paquete hasta llegar a la otra maquina; pero importante hay que fijarse solo en a que router pertenecen las ips porque las ips que nos aparecen en el traceroute pueden ser las de vuelta por que la ruta de ida y la de vuelta no tiene porque ser la misma. ",,no lo se
11/7/2022 14:48:47,ROB,2,5.00,7.33,4,3,4,GafasVR,C,Acierto,B,Fallo,D,Acierto,B,Fallo,"El traceroute sirve para conocer una ruta entre dos máquinas. Esto es bastante útil, ya que permite comprobar al enviar un mensaje si existe una ruta que conecta emisor y receptor. También sirve para hacerse una idea de cómo están interconectadas las subredes.","Sí que me ha ayudado, porque no es lo mismo escuchar una aplicación, en la que si pierdes el hilo es complicado volver a conectar a que sí lo ves en una animación en la que tu diriges (puedes ir parándola, reiniciarla, etc) ",
11/7/2022 14:49:42,ROB,3,7.50,8.00,4,4,4,GafasVR,C,Acierto,A,Acierto,D,Acierto,D,Fallo,"sirve para obtener información sobre la ruta que toman los paquetes desde el ordenador donde se ejecuta el comando hasta el ordenador destino (cuyo ip se indica en el comando). Esto nos permite conocer si existe dicha ruta, por qué encaminadores pasa y el número de routers por donde pasa. También podemos deducir si cada router tiene en su tabla de enrutamiento tiene una entrada para el ordenador origen y si tiene una ruta de vuelta. ","Sí, ya que muestra de una forma más interactiva el inbtercambio de paquetes y hasta qué cabecera lee cada máquina. Considero que ayuda a afianzar los conocimientos adquiridos con las diapositivas.",
